PROMPT	TOKEN_ID	POS_ID	LAYER	TENSOR	FIRST_FAIL	ROOT_CAUSE
p0_short	116	37	0	embed_out		
p0_short	116	37	0	x_in		
p0_short			0	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p0_short			0	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p0_short	116	37	1	x_in	X_IN_DRIFT	X_IN_DRIFT
p0_short			1	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p0_short			1	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p0_short	116	37	2	x_in	X_IN_DRIFT	X_IN_DRIFT
p0_short			2	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p0_short			2	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p0_short	116	37	4	x_in	X_IN_DRIFT	X_IN_DRIFT
p0_short			4	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p0_short			4	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p0_short	116	37	8	x_in	X_IN_DRIFT	X_IN_DRIFT
p0_short			8	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p0_short			8	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p6_len_16	116	38	0	embed_out		
p6_len_16	116	38	0	x_in		
p6_len_16			0	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p6_len_16			0	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p6_len_16	116	38	1	x_in	X_IN_DRIFT	X_IN_DRIFT
p6_len_16			1	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p6_len_16			1	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p6_len_16	116	38	2	x_in	X_IN_DRIFT	X_IN_DRIFT
p6_len_16			2	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p6_len_16			2	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p6_len_16	116	38	4	x_in	X_IN_DRIFT	X_IN_DRIFT
p6_len_16			4	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p6_len_16			4	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p6_len_16	116	38	8	x_in	X_IN_DRIFT	X_IN_DRIFT
p6_len_16			8	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p6_len_16			8	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p6_len_32	116	38	0	embed_out		
p6_len_32	116	38	0	x_in		
p6_len_32			0	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p6_len_32			0	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p6_len_32	116	38	1	x_in	X_IN_DRIFT	X_IN_DRIFT
p6_len_32			1	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p6_len_32			1	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p6_len_32	116	38	2	x_in	X_IN_DRIFT	X_IN_DRIFT
p6_len_32			2	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p6_len_32			2	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p6_len_32	116	38	4	x_in	X_IN_DRIFT	X_IN_DRIFT
p6_len_32			4	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p6_len_32			4	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
p6_len_32	116	38	8	x_in	X_IN_DRIFT	X_IN_DRIFT
p6_len_32			8	attn_out	ATTN_OUT_DRIFT	ATTN_OUT_DRIFT
p6_len_32			8	mlp_out	MLP_OUT_DRIFT	MLP_OUT_DRIFT
